"CustomerID";"CustomerNumber";"FirstName";"LastName";"DateOfBirth";"NominatedStore"
1;"C1002Darw";"Dewi";"Kagioglou";"1955-06-18";1
2;"C1003Darw";"Ludmilla";"Kaimakamis";"1952-01-11";1
3;"C1005Darw";"Eddie";"Kan";"2000-08-25";1
4;"C1006Darw";"Melissa";"Kang";"1979-02-14";1
5;"C1007Darw";"Emanuela";"Tang";"1986-10-06";1
6;"C1008Darw";"Yeong";"Kang";"1969-12-20";1
7;"C1009Darw";"Pauline";"Kang";"1947-09-13";1
8;"C100Darw";"Xavier";"Baohm";"1960-02-06";1
9;"C1010Darw";"Mohit";"Jia";"1955-12-11";1
10;"C1012Darw";"Hsiao";"Karen";"1984-04-07";1
11;"C1013Darw";"Bibin";"Kang";"1968-01-26";1
12;"C1014Darw";"Stewart";"Karen";"1959-05-19";1
13;"C1015Darw";"Arun";"Kang";"1956-02-22";1
14;"C1016Darw";"Kwan";"Karen";"1950-11-30";1
15;"C1017Darw";"Greg";"Karen";"1955-04-06";1
16;"C1019Darw";"Mingyu";"Karen";"1957-07-08";1
17;"C101Darw";"Hanson";"Baohm";"1960-11-30";1
18;"C1021Darw";"Atlarelang";"Kassianos";"1992-10-24";1
19;"C1026Darw";"David";"Kearney";"1957-06-28";1
20;"C1027Darw";"Hong";"Kearney";"1974-11-11";1
21;"C1028Darw";"Hans";"Kearney";"1947-04-25";1
22;"C102Darw";"Paul";"Baohm";"1990-06-24";1
23;"C1031Darw";"Mark";"Kee";"1952-05-07";1
24;"C1034Darw";"Hans";"Kei";"1953-10-26";1
25;"C1035Darw";"Anisha";"Kei";"1986-02-12";1
26;"C1036Darw";"Saurabh";"Kei";"1950-09-21";1
27;"C1037Darw";"Thai";"Kei";"1954-04-12";1
28;"C1039Darw";"Kian";"Kei";"1992-04-19";1
29;"C1040Darw";"Jason";"Kei";"1951-01-05";1
30;"C1042Darw";"Chhayraksmey";"Kei";"1983-06-28";1
31;"C1043Darw";"Kent";"Keith";"1952-12-25";1
32;"C1044Darw";"Kathleen";"Keith";"1983-02-15";1
33;"C1045Darw";"Salman";"Keith";"1958-02-09";1
